date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,row_id,logit_prob,set,market_prob,EV,edge,profit,ev_bucket
2014-11-14,2015,New Orleans,vs,Minnesota,139,91,-375.0,305.0,205.5,-8.0,103.5,1,0.7894736842105263,0.2469135802469135,16989,0.7601294085125275,train,0.7894736842105263,-0.03716941588413181,-0.0293442756979988,0.26666666666666666,4
2014-11-14,2015,Minnesota,@,New Orleans,91,139,305.0,-375.0,205.5,8.0,103.5,0,0.2469135802469135,0.7894736842105263,16990,0.2431410078416953,train,0.24691358024691357,-0.015278918241134032,-0.0037725724052182774,-1.0,8
2014-11-14,2015,Utah,@,New York,102,100,145.0,-170.0,191.5,3.5,95.5,1,0.4081632653061224,0.6296296296296297,16991,0.3910917287816028,train,0.40816326530612246,-0.04182526448507318,-0.017071536524519648,1.45,1
2014-11-14,2015,Detroit,@,Oklahoma City,96,89,135.0,-160.0,188.5,3.0,95.5,1,0.425531914893617,0.6153846153846154,16992,0.4070766057568747,train,0.425531914893617,-0.04336997647134444,-0.018455309136742315,1.35,1
2014-11-14,2015,Milwaukee,@,Orlando,85,101,125.0,-145.0,194.0,2.5,98.5,0,0.4444444444444444,0.5918367346938775,16993,0.4248026343738083,train,0.4444444444444444,-0.04419407265893138,-0.019641810070636145,-1.0,1
2014-11-14,2015,Houston,vs,Philadelphia,88,87,-4000.0,1400.0,205.5,-16.5,103.0,1,0.975609756097561,0.0666666666666666,16994,0.950779320569108,train,0.975609756097561,-0.025451196416664334,-0.024830435528452988,0.025,8
2014-11-14,2015,Charlotte,@,Phoenix,103,95,220.0,-265.0,200.0,6.5,100.0,1,0.3125,0.726027397260274,16995,0.3024886761623712,train,0.3125,-0.03203623628041219,-0.010011323837628816,2.2,7
2014-11-14,2015,LA Lakers,vs,San Antonio,80,93,325.0,-400.0,205.0,8.0,104.5,0,0.2352941176470588,0.8,16996,0.2331142427870823,train,0.23529411764705882,-0.00926446815490034,-0.0021798748599765327,-1.0,9
2014-11-14,2015,New York,vs,Utah,100,102,-170.0,145.0,191.5,-3.5,95.5,0,0.6296296296296297,0.4081632653061224,16997,0.60588078345304,train,0.6296296296296297,-0.0377187556922306,-0.023748846176589677,-1.0,3
2014-11-15,2015,Cleveland,vs,Atlanta,127,94,-300.0,250.0,209.0,-7.0,104.0,1,0.75,0.2857142857142857,16998,0.7216876132058108,train,0.75,-0.03774984905891898,-0.028312386794189237,0.3333333333333333,3
2014-11-15,2015,Portland,vs,Brooklyn,97,87,-135.0,115.0,204.0,-2.5,102.0,1,0.574468085106383,0.4651162790697674,16999,0.5543474889225571,train,0.574468085106383,-0.035024741505178314,-0.02012059618382589,0.7407407407407407,6
2014-11-15,2015,Golden State,vs,Charlotte,112,87,-700.0,525.0,202.0,-11.5,100.0,1,0.875,0.16,17000,0.8468136922188476,train,0.875,-0.032212923178459876,-0.028186307781152387,0.14285714285714285,7
2014-11-15,2015,Indiana,@,Chicago,99,90,355.0,-440.0,180.5,8.5,92.0,1,0.2197802197802197,0.8148148148148148,17001,0.2190813138248981,train,0.21978021978021978,-0.0031800220967136417,-0.0006989059553216825,3.55,9
2014-11-15,2015,Atlanta,@,Cleveland,94,127,250.0,-300.0,209.0,7.0,104.0,0,0.2857142857142857,0.75,17002,0.2785345865449466,train,0.2857142857142857,-0.02512894709268676,-0.007179699169339082,-1.0,8
2014-11-15,2015,Minnesota,@,Dallas,117,131,576.0,-801.0,211.0,11.5,105.5,0,0.1479289940828402,0.8890122086570478,17003,0.1484139140584336,train,0.14792899408284024,0.003278059035011105,0.0004849199755933564,-1.0,9
2014-11-15,2015,Memphis,vs,Detroit,95,88,-480.0,380.0,186.5,-9.0,93.5,1,0.8275862068965517,0.2083333333333333,17004,0.7979730437683753,train,0.8275862068965517,-0.035782572113213174,-0.029613163128176412,0.20833333333333334,6
2014-11-15,2015,Charlotte,@,Golden State,87,112,525.0,-700.0,202.0,11.5,100.0,0,0.16,0.875,17005,0.1604107452793715,train,0.16,0.002567157996071767,0.0004107452793714883,-1.0,9
2014-11-15,2015,Chicago,vs,Indiana,90,99,-440.0,355.0,180.5,-8.5,92.0,0,0.8148148148148148,0.2197802197802197,17006,0.7853985058984957,train,0.8148148148148148,-0.03610183367002803,-0.02941630891631908,-1.0,5
2014-11-15,2015,Phoenix,@,LA Clippers,107,120,251.0,-301.0,211.5,7.0,105.5,0,0.2849002849002849,0.7506234413965087,17007,0.2778183954230991,train,0.2849002849002849,-0.024857432064922302,-0.007081889477185799,-1.0,8
2014-11-15,2015,Detroit,@,Memphis,88,95,380.0,-480.0,186.5,9.0,93.5,0,0.2083333333333333,0.8275862068965517,17008,0.2078167318515489,train,0.20833333333333334,-0.0024796871125652986,-0.0005166014817844511,-1.0,9
2014-11-15,2015,Dallas,vs,Minnesota,131,117,-801.0,576.0,211.0,-11.5,105.5,1,0.8890122086570478,0.1479289940828402,17009,0.8603563933287244,train,0.8890122086570478,-0.032233320363070334,-0.028655815328323397,0.12484394506866417,7
2014-11-15,2015,Washington,vs,Orlando,98,93,-473.0,378.0,194.5,-9.0,96.0,1,0.8254799301919721,0.209205020920502,17010,0.7959231211722825,train,0.8254799301919721,-0.03580560585260495,-0.0295568090196896,0.21141649048625794,6
